,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
3301,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,white
2384,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,white
1553,6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6,red
9,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,red
3115,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6,white
445,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,red
615,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6,red
1659,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,white
148,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,red
950,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,red
5940,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,white
2958,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,white
4935,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,white
2189,7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6,white
1087,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,red
4448,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5,white
762,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
1080,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,red
440,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,red
4086,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5,white
3451,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,white
4919,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,white
1318,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6,red
5749,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,white
4484,7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7,white
1254,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,red
5819,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,white
491,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,red
5163,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,white
2626,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6,white
458,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,red
1066,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6,red
1003,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,red
2987,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6,white
2900,9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6,white
3986,6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4,white
4452,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5,white
2522,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,white
3575,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6,white
2834,7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6,white
3397,6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8,white
2821,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,7,white
4050,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,white
5406,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5,white
6379,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4,white
2607,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,white
866,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,red
2118,5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6,white
4576,6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6,white
6328,7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,6,white
5078,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,white
5987,7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,6,white
3867,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6,white
4118,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,white
5305,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white
2065,6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,white
4346,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6,white
5169,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6,white
3659,5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5,white
6240,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,white
2232,6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,6,white
2469,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,white
651,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,red
1583,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5,red
43,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,red
3802,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,white
4281,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,white
1925,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5,white
4048,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,white
5801,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,white
5465,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6,white
197,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,red
680,10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,red
4096,8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5,white
5304,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white
6157,6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6,white
6437,6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6,white
166,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,red
3531,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,3,white
312,7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,red
5325,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6,white
4505,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5,white
3715,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,white
3328,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,white
1804,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,white
391,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,red
2924,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,white
4288,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6,white
5439,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,white
5233,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,white
3014,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6,white
6025,6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6,white
498,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,red
5563,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7,white
168,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,red
3758,7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6,white
4564,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5,white
1998,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,white
5556,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5,white
972,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,red
6223,6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6,white
1156,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,red
4233,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,white
2879,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,white
3166,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5,white
1509,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6,red
3396,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5,white
946,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,red
634,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,red
55,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,red
138,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,red
1769,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,white
5753,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,white
3751,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,white
3939,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,white
3330,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6,white
5309,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5,white
1088,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,red
6243,6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6,white
3033,7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6,white
4850,6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6,white
6066,6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5,white
6323,6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6,white
2888,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,white
5023,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,white
6301,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,white
5524,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,white
5288,7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6,white
5512,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,white
3561,9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5,white
1169,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,red
6388,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,white
364,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,red
5326,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,white
6291,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,white
1742,7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,white
5820,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,6,white
2192,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,white
2499,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,white
4892,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,white
1793,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,white
2527,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7,white
4976,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,white
4609,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6,white
2739,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,white
2677,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,white
6048,7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,white
3279,6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5,white
514,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,red
2882,7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5,white
6335,6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6,white
2759,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,white
385,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,red
1637,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,white
259,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,red
1336,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,red
4051,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5,white
4307,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,white
156,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,red
631,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,red
531,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,red
4563,7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7,white
1896,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,white
3962,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,white
1216,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,red
420,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,red
5946,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,white
5641,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,white
4849,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,white
2580,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,white
1248,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
4955,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,white
1623,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,white
5065,6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,white
2324,7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7,white
845,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,red
996,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,red
4082,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6,white
5030,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white
3904,7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6,white
3348,8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5,white
3771,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
2789,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,white
1575,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,red
6002,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,white
5348,6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5,white
2404,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,white
6137,8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,5,white
5623,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6,white
5338,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,white
793,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,red
6279,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5,white
3180,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,white
2552,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,white
3838,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6,white
6110,6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,white
4305,6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6,white
6134,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6,white
3416,6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7,white
5205,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5,white
4261,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,white
3449,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,white
6214,7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5,white
2039,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,white
2041,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,white
4315,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6,white
1989,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white
4589,6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6,white
277,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,red
3754,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4,white
669,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,red
2057,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white
5455,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6,white
1753,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,white
1130,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,red
4741,5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,white
5235,5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6,white
1269,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,red
1790,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,white
2550,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,white
5735,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5,white
5688,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6,white
6395,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,white
3311,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,white
3898,6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,white
4895,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,white
1817,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,white
2024,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,white
3086,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,white
2652,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,white
4171,7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6,white
5889,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6,white
1223,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,red
5191,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,white
2651,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6,white
2194,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,white
1016,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,red
2306,6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5,white
4293,6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6,white
5174,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6,white
956,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,red
2776,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7,white
4639,6.3,0.27,0.29,12.2,0.044,59,196,0.99782,3.14,0.4,8.8,6,white
3819,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7,white
1226,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,red
4677,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,white
1527,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,red
1848,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,white
3007,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6,white
1030,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,red
5069,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,white
5829,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6,white
553,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,red
5701,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5,white
2337,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,white
2516,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,white
5911,7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5,white
2978,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,white
4658,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5,white
5747,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,7,white
6230,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7,white
6423,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7,white
6481,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,white
5389,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,white
2060,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white
1166,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,red
994,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
2868,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,white
2628,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,white
3225,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6,white
4805,6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7,white
6165,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,white
2401,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,white
4762,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,white
4117,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6,white
4508,6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,white
3817,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6,white
42,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,red
1696,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,white
5803,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5,white
5026,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white
2828,9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,white
5343,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,white
2902,7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,white
2724,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,white
5328,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7,white
716,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6,red
5450,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,white
1780,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,white
4786,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,white
4348,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8,white
5546,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6,white
3382,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,white
3184,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,white
